District,Crop,Year,Season,Area,Temperature,Rainfall,Yield
1,2,1997,2,40800.0,23.998425,112.45,0.4558823529411764
1,4,1997,2,900.0,23.998425,112.45,1.2222222222222223
1,4,1997,3,598400.0,21.448471,9.375,0.3626336898395721
1,5,1997,2,4400.0,23.998425,112.45,1.068181818181818
1,5,1997,3,6200.0,21.448471,9.375,1.467741935483871
1,5,1997,4,1100.0,27.62493,8.75,1.7272727272727273
1,6,1997,2,10200.0,23.998425,112.45,0.088235294117647
1,8,1997,2,5900.0,23.998425,112.45,1.2203389830508475
1,12,1997,2,45900.0,23.998425,112.45,0.8483660130718954
1,14,1997,2,17600.0,23.998425,112.45,0.3579545454545454
1,15,1997,2,1600.0,23.998425,112.45,0.5
2,2,1997,2,37500.0,27.581894,205.75,0.3946666666666666
2,4,1997,2,193600.0,27.581894,205.75,1.4984504132231404
2,4,1997,3,3400.0,22.661102,17.6,0.2647058823529412
2,5,1997,2,700.0,27.581894,205.75,1.1428571428571428
2,6,1997,2,119400.0,27.581894,205.75,0.3609715242881072
2,8,1997,2,2900.0,27.581894,205.75,0.5517241379310345
2,14,1997,2,81200.0,27.581894,205.75,0.7931034482758621
2,15,1997,2,81400.0,27.581894,205.75,0.5036855036855037
3,2,1997,2,48300.0,26.965366,264.375,0.4016563146997929
3,4,1997,2,119500.0,26.965366,264.375,1.4577405857740586
3,4,1997,3,200.0,22.415478,13.675,0.5
3,5,1997,2,700.0,26.965366,264.375,1.1428571428571428
3,5,1997,4,100.0,32.123314,4.25,1.0
3,6,1997,2,53400.0,26.965366,264.375,0.4176029962546816
3,8,1997,2,9500.0,26.965366,264.375,0.6105263157894737
3,14,1997,2,83400.0,26.965366,264.375,0.7350119904076738
3,15,1997,2,8800.0,26.965366,264.375,0.4090909090909091
4,2,1997,2,41100.0,25.602623,146.025,0.3552311435523114
4,4,1997,2,27700.0,25.602623,146.025,1.2310469314079422
4,4,1997,3,213400.0,22.361488,16.675001,0.5276476101218369
4,5,1997,2,39800.0,25.602623,146.025,1.0
4,5,1997,3,2100.0,22.361488,16.675001,1.5714285714285714
4,5,1997,4,200.0,29.541336,10.049999,1.5
4,6,1997,2,10700.0,25.602623,146.025,0.205607476635514
4,8,1997,2,1100.0,25.602623,146.025,1.0909090909090908
4,14,1997,2,37100.0,25.602623,146.025,0.0997304582210242
4,15,1997,2,6400.0,25.602623,146.025,0.609375
5,2,1997,2,21400.0,26.775267,74.475,0.2850467289719626
5,4,1997,2,72700.0,26.775267,74.475,0.7661623108665749
5,4,1997,3,262100.0,23.300692,17.25,0.4265547500953834
5,5,1997,2,2900.0,26.775267,74.475,0.9310344827586208
5,5,1997,3,1700.0,23.300692,17.25,1.7647058823529411
5,5,1997,4,200.0,30.531788,13.0,1.5
5,6,1997,2,12100.0,26.775267,74.475,0.0413223140495867
5,8,1997,2,3400.0,26.775267,74.475,0.5
5,14,1997,2,44200.0,26.775267,74.475,0.1628959276018099
5,15,1997,2,7800.0,26.775267,74.475,0.0641025641025641
6,2,1997,2,8400.0,27.558039,275.8,0.2142857142857142
6,4,1997,2,300.0,27.558039,275.8,0.6666666666666666
6,4,1997,3,3900.0,22.39162,20.625,0.2051282051282051
6,5,1997,2,200.0,27.558039,275.8,0.5
6,6,1997,2,600.0,27.558039,275.8,0.3333333333333333
6,8,1997,2,306900.0,27.558039,275.8,1.2430759204952753
6,8,1997,4,128.0,32.08203,17.499998,1.5078125
6,14,1997,2,10200.0,27.558039,275.8,0.2647058823529412
6,15,1997,2,2300.0,27.558039,275.8,0.391304347826087
7,2,1997,2,26300.0,26.225517,157.7,0.494296577946768
7,4,1997,2,147800.0,26.225517,157.7,1.2070365358592692
7,4,1997,3,17100.0,21.956879,19.775,0.2748538011695906
7,5,1997,2,20000.0,26.225517,157.7,0.82
7,5,1997,3,500.0,21.956879,19.775,1.8
7,5,1997,4,100.0,30.346786,8.2,1.0
7,6,1997,2,58400.0,26.225517,157.7,0.797945205479452
7,8,1997,2,700.0,26.225517,157.7,0.4285714285714285
7,14,1997,2,63000.0,26.225517,157.7,0.4714285714285714
7,15,1997,2,65800.0,26.225517,157.7,0.3024316109422492
8,2,1997,2,12300.0,28.087387,216.72499,0.2926829268292683
8,4,1997,2,22400.0,28.087387,216.72499,0.6160714285714286
8,4,1997,3,85400.0,23.781105,27.55,0.2939110070257611
8,5,1997,2,1100.0,28.087387,216.72499,0.9090909090909092
8,6,1997,2,4000.0,28.087387,216.72499,0.45
8,8,1997,2,136400.0,28.087387,216.72499,1.3936950146627567
8,8,1997,4,11.0,32.525547,15.150001,1.181818181818182
8,14,1997,2,30300.0,28.087387,216.72499,0.3201320132013201
8,15,1997,2,1900.0,28.087387,216.72499,0.5263157894736842
9,2,1997,2,27300.0,26.901114,126.65,0.6886446886446886
9,4,1997,2,75300.0,26.901114,126.65,1.253652058432935
9,4,1997,3,42800.0,22.630527,28.425,0.8294392523364486
9,5,1997,2,19300.0,26.901114,126.65,1.7512953367875648
9,5,1997,3,1400.0,22.630527,28.425,1.7857142857142858
9,5,1997,4,100.0,29.788553,12.35,1.0
9,6,1997,2,34800.0,26.901114,126.65,0.9195402298850576
9,8,1997,2,25300.0,26.901114,126.65,0.8379446640316206
9,12,1997,2,9800.0,26.901114,126.65,0.8310204081632653
9,14,1997,2,29400.0,26.901114,126.65,0.6292517006802721
9,15,1997,2,31900.0,26.901114,126.65,0.8808777429467085
10,2,1997,2,3600.0,27.46085,260.85,0.2222222222222222
10,4,1997,2,100.0,27.46085,260.85,1.0
10,4,1997,3,18200.0,24.147202,31.975,0.3241758241758242
10,5,1997,2,1800.0,27.46085,260.85,0.8888888888888888
10,5,1997,3,800.0,24.147202,31.975,0.875
10,6,1997,2,100.0,27.46085,260.85,1.0
10,8,1997,2,135300.0,27.46085,260.85,1.0960827790096084
10,8,1997,4,25.0,31.318611,37.850002,1.16
10,14,1997,2,2100.0,27.46085,260.85,0.2857142857142857
10,15,1997,2,200.0,27.46085,260.85,0.5
13,2,1997,2,50300.0,27.644478,147.425,0.6421471172962226
13,4,1997,2,159700.0,27.644478,147.425,2.028804007514089
13,4,1997,3,54000.0,22.650473,20.85,1.0629629629629629
13,5,1997,2,8500.0,27.644478,147.425,2.023529411764706
13,5,1997,3,300.0,22.650473,20.85,1.6666666666666667
13,5,1997,4,500.0,31.069548,2.0500002,1.4
13,6,1997,2,31800.0,27.644478,147.425,0.4654088050314465
13,8,1997,2,1700.0,27.644478,147.425,0.9411764705882352
13,12,1997,2,10900.0,27.644478,147.425,0.8034862385321101
13,14,1997,2,24100.0,27.644478,147.425,0.3029045643153527
13,15,1997,2,56700.0,27.644478,147.425,0.6790123456790124
14,2,1997,2,12600.0,26.261435,124.475,0.2777777777777778
14,4,1997,2,36300.0,26.261435,124.475,1.033057851239669
14,4,1997,3,148600.0,22.499535,13.85,0.477792732166891
14,5,1997,2,30300.0,26.261435,124.475,0.99009900990099
14,5,1997,3,1000.0,22.499535,13.85,1.8
14,5,1997,4,200.0,30.390957,8.65,1.5
14,6,1997,2,46300.0,26.261435,124.475,0.1641468682505399
14,8,1997,2,1600.0,26.261435,124.475,0.5
14,14,1997,2,37700.0,26.261435,124.475,0.1485411140583554
14,15,1997,2,15000.0,26.261435,124.475,0.2266666666666666
15,2,1997,2,9700.0,23.653053,146.0,0.6907216494845361
15,4,1997,3,10300.0,24.231096,12.625,0.8543689320388349
15,5,1997,2,1500.0,23.653053,146.0,1.0666666666666669
15,5,1997,3,4000.0,24.231096,12.625,0.8
15,5,1997,4,100.0,27.262074,17.1,2.0
15,6,1997,2,1600.0,23.653053,146.0,0.625
15,14,1997,2,3700.0,23.653053,146.0,0.2432432432432432
15,15,1997,2,3200.0,23.653053,146.0,0.84375
16,2,1997,2,22100.0,25.698963,104.95,0.3981900452488687
16,4,1997,2,176800.0,25.698963,104.95,1.0531674208144797
16,4,1997,3,30200.0,22.892035,13.4,0.2185430463576159
16,5,1997,2,3000.0,25.698963,104.95,0.6666666666666666
16,5,1997,3,1100.0,22.892035,13.4,1.5454545454545454
16,5,1997,4,100.0,29.990574,10.5,1.0
16,6,1997,2,23700.0,25.698963,104.95,0.1350210970464135
16,8,1997,2,20700.0,25.698963,104.95,0.2657004830917874
16,14,1997,2,65000.0,25.698963,104.95,0.043076923076923
16,15,1997,2,74300.0,25.698963,104.95,0.205921938088829
17,2,1997,2,36800.0,27.696178,223.525,0.266304347826087
17,4,1997,2,58200.0,27.696178,223.525,0.8762886597938144
17,4,1997,3,23500.0,22.653868,16.475,0.1659574468085106
17,5,1997,2,200.0,27.696178,223.525,1.0
17,6,1997,2,2900.0,27.696178,223.525,0.3793103448275862
17,8,1997,2,29200.0,27.696178,223.525,0.8116438356164384
17,8,1997,4,2.0,32.6392,7.7000003,1.5
17,14,1997,2,51900.0,27.696178,223.525,0.048169556840077
17,15,1997,2,2600.0,27.696178,223.525,0.3846153846153846
18,2,1997,2,21500.0,27.59704,108.75,0.2790697674418604
18,4,1997,2,199500.0,27.59704,108.75,1.100250626566416
18,4,1997,3,35200.0,23.679739,16.95,0.5681818181818182
18,5,1997,4,100.0,31.824677,6.7,1.0
18,6,1997,2,38900.0,27.59704,108.75,0.1645244215938303
18,8,1997,2,25700.0,27.59704,108.75,0.5875486381322957
18,14,1997,2,46000.0,27.59704,108.75,0.1304347826086956
18,15,1997,2,49400.0,27.59704,108.75,0.2105263157894736
20,2,1997,2,52200.0,23.772095,211.55,0.4731800766283525
20,4,1997,2,14900.0,23.772095,211.55,1.2281879194630871
20,4,1997,3,35300.0,21.65995,25.349998,0.6402266288951841
20,5,1997,2,15700.0,23.772095,211.55,1.751592356687898
20,5,1997,3,1300.0,21.65995,25.349998,1.5384615384615383
20,5,1997,4,100.0,26.841858,5.85,1.0
20,6,1997,2,8500.0,23.772095,211.55,0.6705882352941176
20,8,1997,2,44600.0,23.772095,211.55,1.336322869955157
20,12,1997,2,21900.0,23.772095,211.55,0.9445205479452056
20,14,1997,2,8800.0,23.772095,211.55,0.4886363636363636
20,15,1997,2,12500.0,23.772095,211.55,0.712
21,2,1997,2,40400.0,25.238873,108.350006,0.1361386138613861
21,4,1997,2,91800.0,25.238873,108.350006,0.6263616557734205
21,4,1997,3,210300.0,23.198593,17.4,0.1602472658107465
21,5,1997,2,8300.0,25.238873,108.350006,0.6265060240963856
21,5,1997,4,100.0,29.901602,8.2,1.0
21,6,1997,2,10300.0,25.238873,108.350006,0.0970873786407767
21,8,1997,2,13900.0,25.238873,108.350006,0.2805755395683453
21,14,1997,2,69200.0,25.238873,108.350006,0.041907514450867
21,15,1997,2,28000.0,25.238873,108.350006,0.15
22,2,1997,2,43700.0,27.391106,92.875,0.2883295194508009
22,4,1997,2,182600.0,27.391106,92.875,1.3992332968236585
22,4,1997,3,171300.0,22.858978,20.099998,0.3356684179801518
22,5,1997,2,1200.0,27.391106,92.875,0.75
22,5,1997,3,300.0,22.858978,20.099998,1.6666666666666667
22,5,1997,4,200.0,31.25661,0.8000001,1.5
22,6,1997,2,78300.0,27.391106,92.875,0.0587484035759897
22,8,1997,2,22300.0,27.391106,92.875,0.4618834080717489
22,14,1997,2,80000.0,27.391106,92.875,0.05
22,15,1997,2,27900.0,27.391106,92.875,0.1218637992831541
23,2,1997,2,43400.0,24.106628,342.12497,0.6013824884792627
23,4,1997,2,4200.0,24.106628,342.12497,1.238095238095238
23,4,1997,3,510800.0,23.121664,15.874999,0.4600626468285043
23,5,1997,2,4400.0,24.106628,342.12497,1.068181818181818
23,5,1997,3,6900.0,23.121664,15.874999,1.4927536231884058
23,5,1997,4,1200.0,27.410366,14.450001,1.8333333333333333
23,6,1997,2,2800.0,24.106628,342.12497,0.4285714285714285
23,8,1997,2,59400.0,24.106628,342.12497,1.1111111111111112
23,12,1997,2,40900.0,24.106628,342.12497,0.9590953545232274
23,14,1997,2,3900.0,24.106628,342.12497,0.7435897435897436
23,15,1997,2,2300.0,24.106628,342.12497,0.5217391304347826
26,2,1997,2,23500.0,23.953674,107.9,0.574468085106383
26,4,1997,2,122300.0,23.953674,107.9,1.1586263286999183
26,4,1997,3,140300.0,23.970886,8.625,0.5880256593014968
26,5,1997,2,7500.0,23.953674,107.9,1.346666666666667
26,5,1997,3,3600.0,23.970886,8.625,1.0
26,5,1997,4,1100.0,28.19696,14.0,1.818181818181818
26,6,1997,2,6400.0,23.953674,107.9,0.6875
26,8,1997,2,15700.0,23.953674,107.9,2.063694267515924
26,14,1997,2,13600.0,23.953674,107.9,0.25
26,15,1997,2,7900.0,23.953674,107.9,0.8860759493670886
27,2,1997,2,21300.0,22.50959,168.55,0.5023474178403756
27,4,1997,2,67500.0,22.50959,168.55,1.4355555555555557
27,4,1997,3,144000.0,21.823063,12.424999,0.6034722222222222
27,5,1997,2,6700.0,22.50959,168.55,1.1940298507462686
27,5,1997,3,2900.0,21.823063,12.424999,1.2413793103448276
27,5,1997,4,400.0,26.216005,34.4,1.75
27,6,1997,2,4700.0,22.50959,168.55,0.574468085106383
27,8,1997,2,41100.0,22.50959,168.55,1.5644768856447688
27,14,1997,2,7600.0,22.50959,168.55,0.25
27,15,1997,2,4400.0,22.50959,168.55,0.7954545454545454
28,2,1997,2,32100.0,26.667488,74.9,0.35202492211838
28,4,1997,2,1300.0,26.667488,74.9,1.0
28,4,1997,3,726300.0,25.207047,13.0,0.2157510670521823
28,5,1997,2,8700.0,26.667488,74.9,1.1264367816091954
28,5,1997,3,11700.0,25.207047,13.0,1.5982905982905984
28,5,1997,4,1600.0,31.056355,9.2,1.8125
28,6,1997,2,3000.0,26.667488,74.9,0.3333333333333333
28,8,1997,2,2100.0,26.667488,74.9,1.0952380952380951
28,12,1997,2,53900.0,26.667488,74.9,0.7998515769944341
28,14,1997,2,27000.0,26.667488,74.9,0.1074074074074074
28,15,1997,2,2900.0,26.667488,74.9,0.4827586206896552
29,2,1997,2,3700.0,26.7151,269.325,0.5945945945945946
29,8,1997,2,146700.0,26.7151,269.325,2.340149965916837
29,14,1997,2,2500.0,26.7151,269.325,0.48
29,15,1997,2,4900.0,26.7151,269.325,0.6122448979591837
30,2,1997,2,18400.0,28.03186,239.025,0.233695652173913
30,4,1997,2,61100.0,28.03186,239.025,0.7577741407528642
30,4,1997,3,2000.0,23.0614,16.875,0.25
30,5,1997,2,200.0,28.03186,239.025,1.0
30,6,1997,2,1200.0,28.03186,239.025,0.25
30,8,1997,2,800.0,28.03186,239.025,0.5
30,14,1997,2,51100.0,28.03186,239.025,0.3150684931506849
30,15,1997,2,600.0,28.03186,239.025,0.1666666666666666
32,2,1997,2,16400.0,27.584457,213.05,0.3170731707317073
32,4,1997,2,160700.0,27.584457,213.05,0.7230864965774736
32,5,1997,2,500.0,27.584457,213.05,1.2
32,6,1997,2,47800.0,27.584457,213.05,0.3368200836820084
32,8,1997,2,6700.0,27.584457,213.05,0.5671641791044776
32,14,1997,2,113200.0,27.584457,213.05,0.6925795053003534
32,15,1997,2,23300.0,27.584457,213.05,0.2403433476394849
1,1,1998,2,12100.0,24.131676,152.775,1.6446280991735538
1,2,1998,3,59600.0,21.875889,0.075,0.6862416107382551
1,3,1998,2,7100.0,24.131676,152.775,0.8732394366197183
1,3,1998,4,15000.0,30.340569,9.9,1.7133333333333334
1,4,1998,2,300.0,24.131676,152.775,1.6666666666666667
1,4,1998,3,453200.0,21.875889,0.075,0.5028684907325685
1,5,1998,2,5800.0,24.131676,152.775,2.155172413793104
1,5,1998,3,7900.0,21.875889,0.075,1.5443037974683544
1,5,1998,4,1500.0,30.340569,9.9,1.5333333333333334
1,6,1998,2,15600.0,24.131676,152.775,0.5833333333333334
1,7,1998,3,200.0,21.875889,0.075,0.0
1,8,1998,2,5600.0,24.131676,152.775,1.3214285714285714
1,9,1998,2,900.0,24.131676,152.775,0.3333333333333333
1,9,1998,3,400.0,21.875889,0.075,0.25
1,11,1998,2,4600.0,24.131676,152.775,1.1956521739130437
1,13,1998,2,11500.0,24.131676,152.775,0.3043478260869565
1,13,1998,3,9200.0,21.875889,0.075,0.5543478260869565
1,13,1998,4,300.0,30.340569,9.9,0.6666666666666666
1,14,1998,2,18800.0,24.131676,152.775,0.5159574468085106
1,15,1998,2,2800.0,24.131676,152.775,0.4642857142857143
2,1,1998,2,360300.0,28.071949,215.6,0.6841520954759922
2,2,1998,3,56500.0,22.422007,15.025001,0.6831858407079646
2,3,1998,2,1600.0,28.071949,215.6,0.6875
2,3,1998,4,2300.0,34.4659,1.0,0.8695652173913043
2,4,1998,2,165800.0,28.071949,215.6,1.4716525934861278
2,4,1998,3,1100.0,22.422007,15.025001,0.3636363636363636
2,5,1998,2,400.0,28.071949,215.6,2.0
2,5,1998,3,100.0,22.422007,15.025001,1.0
2,6,1998,2,121400.0,28.071949,215.6,0.771004942339374
2,7,1998,3,200.0,22.422007,15.025001,0.0
2,8,1998,2,2900.0,28.071949,215.6,0.6896551724137931
2,9,1998,2,8100.0,28.071949,215.6,0.345679012345679
2,9,1998,3,100.0,22.422007,15.025001,0.0
2,11,1998,2,77800.0,28.071949,215.6,1.3611825192802056
2,13,1998,2,2900.0,28.071949,215.6,0.3103448275862069
2,13,1998,3,11200.0,22.422007,15.025001,0.4910714285714285
2,13,1998,4,1200.0,34.4659,1.0,1.0
2,14,1998,2,77300.0,28.071949,215.6,1.1423027166882276
2,15,1998,2,76700.0,28.071949,215.6,0.7314211212516297
3,1,1998,2,320900.0,27.589031,187.225,0.4453100654409473
3,2,1998,3,52400.0,21.841227,11.05,0.7881679389312977
3,3,1998,2,8500.0,27.589031,187.225,1.0705882352941176
3,3,1998,4,600.0,33.904404,2.25,1.1666666666666667
3,4,1998,2,115200.0,27.589031,187.225,1.5060763888888888
3,4,1998,3,600.0,21.841227,11.05,0.3333333333333333
3,5,1998,2,800.0,27.589031,187.225,1.875
3,5,1998,3,100.0,21.841227,11.05,1.0
3,5,1998,4,100.0,33.904404,2.25,1.0
3,6,1998,2,57600.0,27.589031,187.225,0.5243055555555556
3,7,1998,3,400.0,21.841227,11.05,0.25
3,8,1998,2,8700.0,27.589031,187.225,0.7011494252873564
3,9,1998,2,3800.0,27.589031,187.225,0.2894736842105263
3,9,1998,3,600.0,21.841227,11.05,0.1666666666666666
3,11,1998,2,175200.0,27.589031,187.225,1.3139269406392695
3,13,1998,2,1100.0,27.589031,187.225,0.3636363636363636
3,13,1998,3,4100.0,21.841227,11.05,0.6829268292682927
3,13,1998,4,100.0,33.904404,2.25,1.0
3,14,1998,2,86500.0,27.589031,187.225,0.9930635838150288
3,15,1998,2,9900.0,27.589031,187.225,0.5454545454545454
4,1,1998,2,152600.0,25.959461,178.025,0.971821756225426
4,2,1998,3,48300.0,22.671051,0.4,0.5838509316770186
4,3,1998,2,11400.0,25.959461,178.025,0.6228070175438597
4,3,1998,4,900.0,32.37958,4.2,1.1111111111111112
4,4,1998,2,28100.0,25.959461,178.025,1.4234875444839858
4,4,1998,3,171000.0,22.671051,0.4,0.6649122807017543
4,5,1998,2,41700.0,25.959461,178.025,2.1678657074340526
4,5,1998,3,2800.0,22.671051,0.4,1.6071428571428572
4,5,1998,4,300.0,32.37958,4.2,1.3333333333333333
